"cliente","cidade","estado","cpf","cnpj","produto","quantidade","valor_unitário","valor_custo","valor_total","data_venda","tipo_frete","valor_frete","status_venda"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Lápis de Cor","15","10410.34","4686.16","156155.1","07/05/2024","CIF","60.34","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Mini Projetor","28","4767.85","2835.36","133499.8","18/11/2023","CIF","77.54","Pendente"
"Larissa Ferreira","Manaus"," Df","450.010.242-24","","Bolsa de Viagem","25","4880.06","2377.28","122001.5","10/08/2024","FOB","","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Bolsa de Viagem","12","6954.87","2784.48","83458.44","08/23/2024","CIF","199.42","Pendente"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Notebook Gamer","2","8738.81","3343.47","17477.62","29/07/2023","CIF","170.14","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Armário de Aço","23","9718.8","4572.78","223532.4","08/08/2024","CIF","97.76","Pendente"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Pulseira Esportiva","17","2209.66","1343.47","37564.22","12/10/2024","CIF","125.47","Cancelada"
"Beatriz Correia","Salvador","SPP","511.440.560-17","","Carteira Masculina","21","6745.18","2602.2","141648.78","07/08/2023","FOB","","Pendente"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mini Projetor","9","2062.77","892.36","18564.93","13/06/2023","FOB","","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Mouse Sem Fio","26","6400.17","2816.95","166404.42","12/12/2023","FOB","","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Armário de Aço","3","3143.66","1310.02","9430.98","08/02/2023","CIF","52.11","Concluída"
"Rogério Matos","São Paulo"," Rs","263.971.756-39","","Agenda 2025","12","3542.48","1904.26","42509.76","12/06/2023","CIF","132.81","Cancelada"
"Felipe Moreira","Manaus","AM","247.173.034-32","","Notebook Gamer","14","8430.39","3572.62","118025.46","01/06/2023","CIF","22.25","Cancelada"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Gaveteiro com Rodas","12","10575.2","4278.56","126902.4","20/01/2024","CIF","176.31","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Óculos de Sol","9","6316.34","2535.16","56847.06","28/05/2024","FOB","","Concluída"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Carteira Masculina","19","1413.89","1006.08","26863.91","21/03/2023","FOB","","Em Análise"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Pulseira Esportiva","17","2687.78","1499.98","45692.26","01/05/2024","FOB","","Em Análise"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","PC Gamer","","11606.95","4913.43","278566.8","01/08/2024","FOB","","Pendente"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Óculos de Sol","5","5592.85","4804.41","27964.25","05/16/2023","FOB","","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Pulseira Esportiva","22","1291.51","575.3","28413.22","08/08/2024","CIF","23.98","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Mochila Executiva","30","2723.64","2105.33","81709.2","26/03/2023","CIF","67.32","Concluída"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Drone Compacto","28","1728.31","643.74","48392.68","19/04/2023","CIF","198.93","Cancelada"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Mesa Gamer","2","7469.23","2914.11","14938.46","07/02/2023","FOB","","Concluída"
"Camila Pires","Manaus","AM","899.777.131-83","","Agenda 2025","19","2080.55","1646.62","39530.45","08/20/2024","FOB","","Em Análise"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Smartphone Importado","16","5063.68","4398.3","81018.88","09/29/2024","CIF","113.27","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Notebook Gamer","11","7771.71","3020.39","85488.81","07/05/2023","FOB","","Concluída"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Drone Compacto","26","90.41","42.58","2350.66","16/10/2024","CIF","167.31","Pendente"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Estante de Livros","12","8062.48","3981.85","96749.76","29/08/2023","FOB","","Pendente"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Carteira Masculina","19","6981.38","2611.38","132646.22","04/11/2023","CIF","110.3","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Cadeira Ergonômica","","2212.36","1417.54","42034.84","23/10/2024","CIF","147.03","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Drone Compacto","6","8303.93","3454.19","49823.58","16/05/2024","FOB","","Concluída"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Agenda 2025","3","450.65","375.79","1351.95","29/05/2023","FOB","","Em Análise"
"Renato Carvalho","Recife","PE","071.142.172-58","","Estojo Escolar","9","7417.37","3148.44","66756.33","27/01/2023","FOB","","Em Análise"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Mochila Executiva","10","6418.7","3742.9","64187","07/07/2023","FOB","","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Estojo Escolar","22","873.15","387.85","19209.3","08/05/2023","FOB","","Em Análise"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Armário de Aço","12","2397.68","1310.02","28772.16","06/03/2023","FOB","","Pendente"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Caderno Universitário","3","4335.45","1559.44","13006.35","24/04/2023","FOB","","Pendente"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caixa de Som Smart","20","6353.34","4608.55","127066.8","05/10/2023","FOB","","Concluída"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","Estante de Livros","14","675.31","537.08","9454.34","17/08/2023","CIF","155.28","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Fone Bluetooth","15","11715.02","4669.59","175725.3","12/01/2024","FOB","","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Carteira Masculina","25","8239.53","3940.74","205988.25","02/08/2023","FOB","","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ","","48.793.803/7889-04","Carteira Masculina","15","12062.35","4933.33","180935.25","07/07/2023","FOB","","Cancelada"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Headset USB","3","5008.81","3076.89","15026.43","09/23/2023","FOB","","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Marcador Permanente","","5878.62","2504.71","164601.36","11/01/2024","CIF","88.76","Em Análise"
"Camila Pires","Manaus","AM","899.777.131-83","","Estojo Escolar","23","10232.45","4882.25","235346.35","19/12/2023","FOB","","Cancelada"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Caneta Esferográfica","20","4896.45","3639.04","97929","09/10/2023","CIF","67.02","Pendente"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Marcador Permanente","12","10208.02","3770.06","122496.24","01/12/2024","CIF","73.9","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Bolsa de Viagem","9","5026.11","4390.23","45234.99","08/20/2024","FOB","","Em Análise"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Teclado Mecânico","9","5431.29","3976.7","48881.61","26/03/2024","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Lápis de Cor","3","5214.21","4394.3","15642.63","24/06/2024","CIF","64.84","Cancelada"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Mesa Gamer","","3699.73","2892.85","73994.6","08/09/2024","FOB","","Concluída"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Lápis de Cor","25","2410.86","1193.53","60271.5","28/03/2023","CIF","43.69","Pendente"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Caderno Universitário","27","11084.35","4318.97","299277.45","08/18/2024","CIF","27.78","Em Análise"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Lápis de Cor","11","9683.45","4686.16","106517.95","09/12/2024","CIF","198.49","Concluída"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Mesa de Escritório","3","985.52","478.18","2956.56","17/04/2023","FOB","","Concluída"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Bolsa de Viagem","19","7283.02","4349.02","138377.38","25/07/2023","FOB","","Concluída"
"Camila Pires","Manaus","AM","899.777.131-83","","","19","7609.71","2864.86","144584.49","09/10/2023","CIF","97.9","Em Análise"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Estojo Escolar","18","434.13","387.85","7814.34","08/09/2023","CIF","101.37","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","23","8993.1","4536.68","206841.3","04/22/2024","CIF","198.45","Concluída"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Mouse Sem Fio","5","12123.37","4642.02","60616.85","06/11/2024","CIF","110.97","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mouse Sem Fio","13","8860.03","3529.53","115180.39","04/11/2024","FOB","","Concluída"
"Patrícia Moura","Porto Alegre","RJ ","446.073.750-07","","Notebook Gamer","23","9239.1","3324.45","212499.3","03/20/2024","CIF","119.41","Em Análise"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Mesa de Escritório","29","1019.13","478.18","29554.77","23/11/2023","CIF","82.99","Em Análise"
"Delta Service Brasil","São Paulo","SP","","33.010.213/1465-22","Caderno Universitário","7","9891.72","4318.97","69242.04","06/12/2023","FOB","","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Caneta Esferográfica","23","3693.63","1747.81","84953.49","14/05/2024","CIF","154.35","Concluída"
"Ana Paula Silva","Brasília","DF","862.295.268-57","","Bloco de Notas","7","940.94","388.28","6586.58","03/07/2023","CIF","171.43","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","PC de Escritório","16","81.67","47.89","1306.72","17/12/2023","CIF","37.65","Em Análise"
"Fernanda Almeida","Recife","am ","726.932.467-29","","Teclado Mecânico","14","7277.15","3691.1","101880.1","13/06/2023","CIF","51.75","Em Análise"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Bolsa de Viagem","9","261.4","203.78","2352.6","03/03/2024","FOB","","Cancelada"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Carteira Masculina","12","10653.26","4933.33","127839.12","29/07/2023","CIF","133.55","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","Pulseira Esportiva","28","1584.05","575.3","44353.4","18/01/2023","FOB","","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Caderno Universitário","29","10826.93","4318.97","313980.97","24/09/2024","FOB","","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Caderno Universitário","1","6626.57","4318.97","6626.57","07/16/2024","FOB","","Em Análise"
"Lucas Barros","São Paulo","SP","313.198.334-79","","Pulseira Esportiva","6","7058.07","4248.1","42348.42","17/02/2023","FOB","","Cancelada"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Agenda 2025","27","4760.39","3096.3","128530.53","06/10/2024","FOB","","Concluída"
"Mirella Castro","Belém","PA","204.535.546-30","","Marcador Permanente","28","8202.15","4397.9","229660.2","01/27/2023","FOB","","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Caixa de Som Smart","2","10042.41","4883.3","20084.82","02/19/2023","CIF","145.69","Concluída"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Bloco de Notas","9","4590.85","3929.47","41317.65","10/01/2023","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Drone Compacto","13","4953.36","2554.13","64393.68","24/11/2023","CIF","151.14","Pendente"
"Mirella Castro","Belém","am ","204.535.546-30","","Notebook Gamer","12","6833.55","3343.47","82002.6","15/04/2024","CIF","24.99","Cancelada"
"João Victor Ribeiro","Belém","PA","178.754.043-55","","Monitor Full HD","11","7232.82","4566.57","79561.02","23/04/2023","FOB","","Em Análise"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Headset USB","","6086.94","3772.27","42608.58","03/29/2024","FOB","","Em Análise"
"Carlos Eduardo Lima","Brasília","DF","768.734.911-59","","Bolsa de Viagem","10","3234.35","2784.48","32343.5","18/11/2024","FOB","","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Bloco de Notas","","261.57","101.6","2615.7","08/02/2024","CIF","109.57","Concluída"
"Larissa Ferreira","Manaus","AM","450.010.242-24","","Armário de Aço","","4281.56","3305.87","38534.04","09/04/2024","FOB","","Concluída"
"Mercado Novo Sul","Rio de Janeiro","RJ ","","48.793.803/7889-04","Cadeira Ergonômica","15","4387.66","2260.23","65814.9","17/03/2024","CIF","192.32","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Drone Compacto","7","1599.44","643.74","11196.08","26/06/2023","CIF","48.29","Concluída"
"Moura & Filhos ME","Brasília","DF","","35.982.399/2390-09","Bolsa de Viagem","12","10983.35","4390.23","131800.2","07/07/2024","CIF","77","Em Análise"
"Juliana Souza","Rio de Janeiro","RJ","790.436.054-86","","Mouse Sem Fio","7","1220.21","701.69","8541.47","26/02/2023","FOB","","Em Análise"
"Comercial Andrade Ltda","Curitiba","PR","","55.537.611/1556-06","Estojo Escolar","27","8037.48","3981.39","217011.96","09/21/2024","FOB","","Cancelada"
"UniFlex Comercial","Manaus","AM","","53.020.698/5267-01","Lápis de Cor","20","10004.13","4394.3","200082.6","14/03/2023","CIF","20.13","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Caixa de Som Smart","24","7767.29","4985.88","186414.96","20/10/2024","CIF","140.09","Pendente"
"Mariana Gomes","Curitiba","PR","662.049.694-89","","Lápis de Cor","1","8562.45","3354.31","8562.45","01/17/2024","FOB","","Em Análise"
"Rafael Andrade","Porto Alegre","RS","618.986.735-72","","PC Gamer","1","2600.05","1403.17","2600.05","16/07/2023","CIF","142.09","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mouse Sem Fio","14","6198.13","3529.53","86773.82","16/11/2023","CIF","88.76","Cancelada"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Mouse Sem Fio","14","6198.13","3529.53","86773.82","16/11/2023","CIF","88.76","Cancelada"
"Daniel Lobo","São Paulo","SPP","550.369.280-76","","Teclado Mecânico","18","774.46","317.96","13940.28","08/10/2024","CIF","171.98","Pendente"
"Simone Teixeira","Rio de Janeiro","RJ","499.655.531-18","","Agenda 2025","29","3154.72","1488.27","91486.88","13/12/2023","CIF","182.86","Cancelada"
"Beatriz Correia","Salvador","BA","511.440.560-17","","Agenda 2025","26","4689.65","2522.79","121930.9","01/21/2023","FOB","","Em Análise"
"Daniel Lobo","São Paulo","SP","550.369.280-76","","Pulseira Esportiva","","7472.63","3519.38","164397.86","12/16/2023","FOB","","Em Análise"
"LogiCenter Brasil","Salvador","BA","","26.929.896/9741-00","Bloco de Notas","29","788.09","303.89","22854.61","25/09/2023","FOB","","Em Análise"
"Solari Imports","Salvador","BA","","85.760.510/7142-36","Carteira Masculina","12","5170.57","2602.2","62046.84","24/09/2024","FOB","","Cancelada"
"Fernanda Almeida","Recife","PE","726.932.467-29","","Estante de Livros","26","8331.99","3869.96","216631.74","04/30/2024","FOB","","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Óculos de Sol","25","11734.5","4704.27","293362.5","05/26/2024","CIF","132.34","Pendente"
"Patrícia Moura","Porto Alegre","RS","446.073.750-07","","Cadeira Ergonômica","7","7603.68","2896.04","53225.76","02/08/2024","CIF","95.12","Concluída"
"Renato Carvalho","Recife","PE","071.142.172-58","","Óculos de Sol","4","12009.33","4804.41","48037.32","10/09/2024","CIF","156.36","Concluída"
"Patrícia Moura","Porto Alegre","RJ ","446.073.750-07","","Carteira Masculina","22","8362.36","3940.74","183971.92","04/30/2024","CIF","185.38","Pendente"
"Renato Carvalho","Recife","PE","071.142.172-58","","Agenda 2025","3","2446.2","1488.27","7338.6","18/05/2024","CIF","33.71","Cancelada"
"TechInfo Solutions","Manaus","AM","","23.142.529/9475-25","Kit Gamer Completo","18","3174.39","1173.93","57139.02","09/19/2024","CIF","184.64","Pendente"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Bloco de Notas","29","7184.69","3573.49","208356.01","08/11/2024","CIF","65.96","Em Análise"
"Hugo Martins","Manaus","AM","181.125.206-47","","Caneta Esferográfica","13","4708.88","1747.81","61215.44","15/01/2023","CIF","148.74","Concluída"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Gaveteiro com Rodas","27","5698.95","2922.21","153871.65","03/12/2023","CIF","166.15","Concluída"
"Ribeiro Equipamentos","Rio de Janeiro","RJ","","21.859.188/4400-92","Relógio Digital","14","11837.69","4675.67","165727.66","07/02/2024","CIF","63.1","Em Análise"
"Mercado Novo Sul","Rio de Janeiro","Prr","","48.793.803/7889-04","Agenda 2025","3","3710.42","1904.26","11131.26","04/05/2024","CIF","73.19","Em Análise"
"Global Trade Importações","Porto Alegre","RS","","36.069.625/1720-12","Armário de Aço","2","2871.05","1310.02","5742.1","15/11/2024","FOB","","Concluída"
"Alpha Distribuidora","Curitiba","PR","","41.992.958/0340-98","Kit Gamer Completo","16","2966.42","1173.93","47462.72","03/12/2023","FOB","","Pendente"
"Hugo Martins","Manaus","AM","181.125.206-47","","Relógio Digital","6","8622.18","4883.82","51733.08","29/02/2024","FOB","","Pendente"
"Prime Office Supplies","Belém","PA","","15.193.269/0057-63","Mesa de Escritório","15","2669.84","1177.07","40047.6","20/02/2024","CIF","122.5","Concluída"
"CenterPro Equipamentos","Manaus","AM","","16.698.635/0233-57","Caderno Universitário","14","1939.6","1559.44","27154.4","06/02/2023","FOB","","Pendente"
